일시,광진구,동대문구,성동구,중랑구
20211027,11.236,9.492,9.206,6.506
20211028,11.618,9.684,9.458,6.792
20211029,11.844,9.604,9.466,6.734
20211030,10.536,7.766,8.63,6.268
20211031,8.61,6.486,7.942,5.206
20211101,10.632,9.248,9.08,6.354
20211102,11.508,9.898,9.804,7.076
20211103,11.33,9.942,9.726,6.89
20211104,11.29,9.596,9.412,6.57
20211105,11.95,9.91,9.834,6.696
20211106,11.27,8.254,9.206,6.438
20211107,10.56,7.628,9.008,5.934
20211108,1.796,1.958,1.216,1.54
20211109,3.904,3.654,2.766,2.756
20211110,7.078,6.594,5.61,4.61
20211111,8.1,7.1,6.498,5.004
20211112,8.068,7.024,6.676,5.056
20211113,7.962,6.212,6.74,4.898
20211114,8.412,6.496,6.85,4.802
20211115,9.348,8.186,7.818,5.55
20211116,9.772,8.266,7.834,5.728
20211117,9.51,8.166,7.586,5.622
20211118,9.598,7.828,7.85,5.428
20211119,10.072,8.288,8.346,5.936
20211120,8.238,6.54,6.042,4.914
20211121,6.226,5.12,4.728,3.912
20211122,6.234,5.7,5.058,3.75
20211123,6.186,5.7,4.918,3.784
20211124,7.268,6.636,6.166,4.444
20211125,7.666,6.834,6.7,4.69
20211126,7.408,6.27,6.242,4.472
20211127,6.572,5.17,5.182,3.982
20211128,6.248,5.1,4.806,3.736
20211129,8.454,7.214,6.676,4.972
20211130,2.648,2.326,1.784,1.506
20211201,5.412,4.854,4.224,3.252
20211202,6.152,4.94,4.85,3.268
20211203,6.342,5.55,4.888,3.632
20211204,5.46,4.492,3.786,3.462
20211205,5.494,4.478,4.098,3.536
20211206,7.536,6.586,6.37,4.1
20211207,7.892,7.09,6.594,4.536
20211208,7.932,7.01,6.516,4.768
20211209,8.086,6.898,6.75,4.53
20211210,6.766,5.5,5.426,3.65
20211211,6.562,5.094,4.922,4.006
20211212,4.37,3.454,3.168,2.63
20211213,5.814,5.174,4.41,3.17
20211214,5.034,4.564,4.036,2.926
20211215,5.994,4.932,5.016,3.382
20211216,7.146,6.286,5.894,4.094
20211217,4.468,3.74,3.518,2.36
20211218,2.316,1.79,1.64,1.56
20211219,1.77,1.682,1.306,1.212
20211220,5.364,4.868,4.824,3.132
20211221,6.468,5.618,5.328,3.636
20211222,6.436,5.612,5.634,3.742
20211223,6.668,5.69,5.812,3.898
20211224,5.02,4.028,3.99,3.092
20211225,1.946,1.474,1.148,1.246
20211226,1.62,1.378,0.992,1.004
20211227,3.83,3.416,2.908,2.35
20211228,4.51,3.89,3.714,2.7
20211229,4.49,3.524,3.66,2.524
20211230,4.444,3.574,3.53,2.506
20211231,3.616,3.21,2.62,2.146
